Source,Target,Type
Ferrara,Ferrara,Place
Ferrara,Fadigati,Place
Ferrara,Athos Fadigati,Place
Ferrara,via Gorgadello,Place
Ferrara,Piazza delle Erbe,Place
Ferrara,Venezia,Place
io,io,Character
io,corso Giovecca,Character
io,corso Roma,Character
io,palazzo delle Assicurazioni Generali,Character
io,Castello,Character
io,Fadigati,Character
io,Athos Fadigati,Character
io,Ferrara,Character
io,Arcispedale,Character
Venezia,Venezia,Place
Venezia,Canal Grande,Place
Venezia,genitori,Place
Venezia,sorella,Place
via Gorgadello,via Gorgadello,Place
Ferrara,Ferrara,Place
Ferrara,Arcispedale,Place
Ferrara,Fadigati,Place
Fadigati,Fadigati,Place
Fadigati,piazza Cattedrale,Place
Fadigati,via Gorgadello,Place
Fadigati,Circolo dei Negozianti,Place
Fadigati,quello,Place
Fadigati,Comunale di Bologna,Place
Fadigati,Aureliano Pertile,Place
Fadigati,De Chirico,Place
Fadigati,Casoratino,Place
Fadigati,De Pisis,Place
Fadigati,De Pisis,Place
Fadigati,De Pisis,Place
Athos Fadigati,Athos Fadigati,Character
Athos Fadigati,Athos Fadigati,Character
corso,corso,Place
da Vincenzo,da Vincenzo,Place
da Vincenzo,dalla Sandrina,Place
da Vincenzo,ai Tre Galletti,Place
da Vincenzo,da Roveraro,Place
da Vincenzo,vicolo del Granchio,Place
da Vincenzo,via Gorgadello,Place
da Vincenzo,via Bersaglieri del Po,Place
da Vincenzo,Mercerie veneziane,Place
via Mazzini,via Mazzini,Place
via Mazzini,via Saraceno,Place
via Mazzini,duomo,Place
via Mazzini,piazza Travaglio,Place
via Mazzini,via Garibaldi,Place
via Mazzini,via San Romano,Place
via Mazzini,Fadigati,Place
Excelsior,Excelsior,Place
Excelsior,Salvini,Place
Excelsior,Rex,Place
Excelsior,Diana,Place
Fadigati,Fadigati,Place
Segretario Federale,Segretario Federale,Character
Segretario Federale,San Carlo,Character
Segretario Federale,duomo,Character
Segretario Federale,dottor Corcos,Character
Fadigati,Fadigati,Place
Fadigati,Excelsior,Place
Fadigati,Salvini,Place
Fadigati,piazza delle Erbe,Place
Fadigati,via Bersaglieri del Po,Place
Fadigati,Fadigati,Place
Fadigati,Fadigati,Place
Fadigati,in Gorgadello,Place
Fadigati,Bersaglieri del Po,Place
Fadigati,Fadigati,Place
Fadigati,Fadigati,Place
Fadigati,Fadigati,Place
