Source,Target
Ferrara,Ferrara
Ferrara,Fadigati
Ferrara,Athos Fadigati
Ferrara,via Gorgadello
Ferrara,Piazza delle Erbe
Ferrara,Venezia
io,io
io,corso Giovecca
io,corso Roma
io,palazzo delle Assicurazioni Generali
io,Castello
io,Fadigati
io,Fadigati
io,Ferrara
io,Arcispedale
Venezia,Venezia
Venezia,Canal Grande
Venezia,genitori
Venezia,sorella
via Gorgadello,via Gorgadello
Ferrara,Ferrara
Ferrara,Arcispedale
Ferrara,Fadigati
Fadigati,Fadigati
Fadigati,piazza Cattedrale
Fadigati,via Gorgadello
Fadigati,Circolo dei Negozianti
Fadigati,Unione
Fadigati,Comunale di Bologna
Fadigati,Aureliano Pertile
Fadigati,De Chirico
Fadigati,Casoratino
Fadigati,De Pisis
Fadigati,De Pisis
Fadigati,De Pisis
Fadigati,Fadigati
Fadigati,Fadigati
corso Giovecca,corso Giovecca
da Vincenzo,da Vincenzo
da Vincenzo,dalla Sandrina
da Vincenzo,ai Tre Galletti
da Vincenzo,da Roveraro
da Vincenzo,vicolo del Granchio
da Vincenzo,via Gorgadello
da Vincenzo,via Bersaglieri del Po
da Vincenzo,Mercerie veneziane
via Mazzini,via Mazzini
via Mazzini,via Saraceno
via Mazzini,duomo
via Mazzini,Piazza Travaglio
via Mazzini,via Garibaldi
via Mazzini,via San Romano
via Mazzini,Fadigati
Excelsior,Excelsior
Excelsior,Salvini
Excelsior,Rex
Excelsior,Diana
Fadigati,Fadigati
Fadigati,via Gorgadello
Segretario Federale,Segretario Federale
Segretario Federale,San Carlo
Segretario Federale,duomo
Segretario Federale,dottor Corcos
Excelsior,Excelsior
Excelsior,Salvini
Excelsior,Piazza delle Erbe
Excelsior,Listone
Excelsior,via Bersaglieri del Po
Excelsior,Fadigati
Excelsior,Fadigati
Excelsior,Gorgadello
Excelsior,Bersaglieri del Po
