Id,Label,Type,Class
via Indipendenza,via Indipendenza,Place,Bologna's Locations
Deliliers,Deliliers,Character,Primary Character
Lavezzoli,Lavezzoli,Character,Bourgeoisie Character
Venezia,Venezia,Place,Others
Elisa,Elisa,Character,Family Character
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
San Giorgio di Piano,San Giorgio di Piano,Place,Others
Excelsior,Excelsior,Place,Ferrara's Locations
Rimini,Rimini,Place,Adriatic Region's Locations
Grand Hôtel,Grand Hôtel,Place,Adriatic Region's Locations
sua sorellina,sua sorellina,Character,Family Character
padre,padre,Character,Family Character
Athos Fadigati,Athos Fadigati,Character,Primary Character
tipo,tipo,Character,Primary Character
me,me,Character,Primary Character
Negozianti,Negozianti,Place,Ferrara's Locations
amato bene,amato bene,Character,Primary Character
giovanotto,giovanotto,Character,Primary Character
Maria Grillanzoni,Maria Grillanzoni,Character,Others
Pascoli,Pascoli,Character,Cultural Character
dottore,dottore,Character,Primary Character
Ferrara,Ferrara,Place,Ferrara's Locations
signor dottore,signor dottore,Character,Primary Character
Franco,Franco,Character,Bourgeoisie Character
mi,mi,Character,Primary Character
io,io,Character,Primary Character
Bianca,Bianca,Character,Student Character
vecchio degenerato,vecchio degenerato,Character,Primary Character
signore attempato,signore attempato,Character,Primary Character
via Mazzini,via Mazzini,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Caffè Zanarini,Caffè Zanarini,Place,Adriatic Region's Locations
