Id,Label,Type,Class
Mercerie veneziane,Mercerie veneziane,Place,Ferrara's Locations
Viserba,Viserba,Place,Adriatic Region's Locations
Carpegna,Carpegna,Place,Adriatic Region's Locations
Carlo Aretusi,Carlo Aretusi,Character,Others
Io,Io,Character,Primary Character
via San Francesco,via San Francesco,Place,Others
Roma,Roma,Place,Others
mia,mia,Character,Primary Character
figlioli,figlioli,Character,Others
dalla Sandrina,dalla Sandrina,Place,Ferrara's Locations
Aureliano Pertile,Aureliano Pertile,Character,Cultural Character
famiglia Lavezzoli,famiglia Lavezzoli,Character,Bourgeoisie Character
Grand Hôtel,Grand Hôtel,Place,Adriatic Region's Locations
ai Tre Galletti,ai Tre Galletti,Place,Ferrara's Locations
Credito Italiano,Credito Italiano,Place,Ferrara's Locations
Circolo dei Negozianti,Circolo dei Negozianti,Place,Ferrara's Locations
Elsa Molon,Elsa Molon,Character,Others
Eraldo Deliliers,Eraldo Deliliers,Character,Primary Character
Mi,Mi,Character,Primary Character
padre,padre,Character,Family Character
Filippo,Filippo,Character,Bourgeoisie Character
Malta,Malta,Place,Others
Salvini,Salvini,Place,Ferrara's Locations
Montagnone,Montagnone,Place,Ferrara's Locations
Italia,Italia,Place,Others
me,me,Character,Primary Character
Negozianti,Negozianti,Place,Ferrara's Locations
Bruno,Bruno,Character,Historical Character
castello Estense,castello Estense,Place,Ferrara's Locations
Aretusi,Aretusi,Character,Others
Eraldo,Eraldo,Character,Primary Character
vicolo del Granchio,vicolo del Granchio,Place,Ferrara's Locations
Wagner,Wagner,Character,Cultural Character
amico inseparabile,amico inseparabile,Character,Primary Character
Pontelagoscuro,Pontelagoscuro,Place,Ferrara's Locations
Capo della Polizia,Capo della Polizia,Character,Others
Torino,Torino,Place,Others
Maria Grillanzoni,Maria Grillanzoni,Character,Others
Bersaglieri del Po,Bersaglieri del Po,Place,Others
sorella,sorella,Character,Others
duomo,duomo,Place,Ferrara's Locations
Dolomiti,Dolomiti,Place,Others
chiesa di San Girolamo,chiesa di San Girolamo,Place,Ferrara's Locations
cameriere Giovanni,cameriere Giovanni,Character,Others
Enrico Sangiuliano,Enrico Sangiuliano,Character,Student Character
alla Gallina Faraona,alla Gallina Faraona,Place,Bologna's Locations
nostro Paese,nostro Paese,Place,Others
Castelmaggiore,Castelmaggiore,Place,Others
Condorelli,Condorelli,Character,Others
Ferrara,Ferrara,Place,Ferrara's Locations
Giovannino Piazza,Giovannino Piazza,Character,Student Character
signor dottore,signor dottore,Character,Primary Character
Cristina,Cristina,Character,Bourgeoisie Character
vicolo mozzo Torcicoda,vicolo mozzo Torcicoda,Place,Ferrara's Locations
Cariani,Cariani,Character,Others
Adriatico,Adriatico,Place,Adriatic Region's Locations
ministro delle Comunicazioni,ministro delle Comunicazioni,Character,Others
vecchio degenerato,vecchio degenerato,Character,Primary Character
signore attempato,signore attempato,Character,Primary Character
Masi Torello,Masi Torello,Character,Others
marito,marito,Character,Bourgeoisie Character
Gilberto Lavezzoli,Gilberto Lavezzoli,Character,Bourgeoisie Character
Moena,Moena,Place,Others
Nino,Nino,Character,Student Character
Vezio Sturla,Vezio Sturla,Character,Others
Mascarella,Mascarella,Place,Bologna's Locations
i Dollfuss,i Dollfuss,Character,Historical Character
Segretario Federale,Segretario Federale,Character,Others
Castello,Castello,Place,Ferrara's Locations
via Indipendenza,via Indipendenza,Place,Bologna's Locations
Lido,Lido,Place,Others
Sturla,Sturla,Character,Others
Pasticceria Majani,Pasticceria Majani,Place,Bologna's Locations
Maggio,Maggio,Place,Others
Deliliers,Deliliers,Character,Primary Character
Unione,Unione,Place,Ferrara's Locations
colle di San Luca,colle di San Luca,Place,Bologna's Locations
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
Pisa,Pisa,Place,Others
Trapolini,Trapolini,Character,Others
Cesenatico,Cesenatico,Place,Adriatic Region's Locations
Viareggio,Viareggio,Place,Others
Francia,Francia,Place,Others
usciere Trapolini,usciere Trapolini,Character,Others
Scagnellato,Scagnellato,Character,Others
Excelsior,Excelsior,Place,Ferrara's Locations
Gorgadello,Gorgadello,Place,Others
Attilia,Attilia,Character,Others
Ridolini,Ridolini,Character,Cultural Character
Ventimiglia,Ventimiglia,Place,Others
Orazio,Orazio,Character,Cultural Character
Gilberto,Gilberto,Character,Bourgeoisie Character
Melozzo,Melozzo,Character,Cultural Character
fratello,fratello,Character,Family Character
zio Mauro,zio Mauro,Character,Others
Biennale,Biennale,Place,Others
Cervia,Cervia,Place,Adriatic Region's Locations
Ernesto,Ernesto,Character,Family Character
via Saraceno,via Saraceno,Place,Ferrara's Locations
Parma,Parma,Place,Others
via Vignatagliata,via Vignatagliata,Place,Ferrara's Locations
da Majani,da Majani,Place,Bologna's Locations
stazione bolognese,stazione bolognese,Place,Bologna's Locations
sua sorellina,sua sorellina,Character,Family Character
San Pietro in Casale,San Pietro in Casale,Place,Others
corso Ercole,corso Ercole,Place,Ferrara's Locations
Milano Marittima,Milano Marittima,Place,Adriatic Region's Locations
Padre Gemelli,Padre Gemelli,Character,Cultural Character
Grappa,Grappa,Place,Others
Uomo,Uomo,Character,Historical Character
ghetto,ghetto,Place,Ferrara's Locations
Arcispedale,Arcispedale,Place,Ferrara's Locations
Strada Maggiore,Strada Maggiore,Place,Bologna's Locations
amato bene,amato bene,Character,Primary Character
vecchio finocchio,vecchio finocchio,Character,Primary Character
Caffè della Borsa,Caffè della Borsa,Place,Ferrara's Locations
dottor Corazza,dottor Corazza,Character,Others
Pascoli,Pascoli,Character,Cultural Character
Hitler,Hitler,Character,Historical Character
mamma,mamma,Character,Family Character
degno consorte,degno consorte,Character,Bourgeoisie Character
Italia settentrionale,Italia settentrionale,Place,Others
Bellistracci,Bellistracci,Character,Others
dottore,dottore,Character,Primary Character
zio,zio,Character,Others
Val di Fassa,Val di Fassa,Place,Others
Comunale fiorentino,Comunale fiorentino,Place,Others
via Gorgadello,via Gorgadello,Place,Ferrara's Locations
avvocato Lavezzoli,avvocato Lavezzoli,Character,Bourgeoisie Character
Padova,Padova,Place,Others
piazza del Nettuno,piazza del Nettuno,Place,Bologna's Locations
Ilario,Ilario,Character,Others
mi,mi,Character,Primary Character
viale dei Mille,viale dei Mille,Place,Adriatic Region's Locations
genitori,genitori,Character,Others
Spianata,Spianata,Place,Ferrara's Locations
due Torri,due Torri,Place,Bologna's Locations
Dollfuss,Dollfuss,Character,Historical Character
Caffè Zanarini,Caffè Zanarini,Place,Adriatic Region's Locations
Fanny,Fanny,Character,Family Character
grande Baùsi,grande Baùsi,Character,Others
San Carlo,San Carlo,Place,Ferrara's Locations
avv,avv,Character,Bourgeoisie Character
Cenzo,Cenzo,Character,Others
da Gigino,da Gigino,Place,Bologna's Locations
Duce,Duce,Character,Historical Character
Credito,Credito,Place,Ferrara's Locations
Casoratino,Casoratino,Character,Cultural Character
Venezia,Venezia,Place,Others
Sua Eccellenza Bocchini,Sua Eccellenza Bocchini,Character,Others
via Savonarola,via Savonarola,Place,Ferrara's Locations
Elisa,Elisa,Character,Family Character
Zanarini,Zanarini,Place,Adriatic Region's Locations
PONTELAGOSCURO,PONTELAGOSCURO,Place,Ferrara's Locations
Diana,Diana,Place,Ferrara's Locations
ragazzi Lavezzoli,ragazzi Lavezzoli,Character,Bourgeoisie Character
Giovecca,Giovecca,Place,Others
Galliera,Galliera,Place,Bologna's Locations
Germania,Germania,Place,Others
Osvaldo Bellistracci,Osvaldo Bellistracci,Character,Others
femmina,femmina,Character,Bourgeoisie Character
Rimini,Rimini,Place,Adriatic Region's Locations
Arcivescovado,Arcivescovado,Place,Others
avvocato Lattes,avvocato Lattes,Character,Others
papà,papà,Character,Family Character
via Ripagrande,via Ripagrande,Place,Ferrara's Locations
Canal Grande,Canal Grande,Place,Others
conduttore Aldrovandi,conduttore Aldrovandi,Character,Others
Beethoven,Beethoven,Character,Cultural Character
viale Cavour,viale Cavour,Place,Ferrara's Locations
Otello Forti,Otello Forti,Character,Student Character
sorellina minore,sorellina minore,Character,Family Character
via Zamboni,via Zamboni,Place,Bologna's Locations
Fratta Polesine,Fratta Polesine,Place,Others
Ponza,Ponza,Place,Others
dottor Manfredini,dottor Manfredini,Character,Others
Athos Fadigati,Athos Fadigati,Character,Primary Character
Vittorio,Vittorio,Character,Student Character
avvocato,avvocato,Character,Bourgeoisie Character
Punta di Pesaro,Punta di Pesaro,Place,Adriatic Region's Locations
signora Molon,signora Molon,Character,Others
Inghilterra,Inghilterra,Place,Others
San Leo,San Leo,Place,Adriatic Region's Locations
Giovanni,Giovanni,Character,Others
Poggio Renatico,Poggio Renatico,Place,Others
Stella del Nord,Stella del Nord,Place,Bologna's Locations
Riviera di Levante,Riviera di Levante,Place,Others
via Piangipane,via Piangipane,Place,Ferrara's Locations
via Garibaldi,via Garibaldi,Place,Ferrara's Locations
Riccione,Riccione,Place,Adriatic Region's Locations
Viminale,Viminale,Place,Others
Finzi,Finzi,Character,Others
Palazzo Arcivescovile,Palazzo Arcivescovile,Place,Ferrara's Locations
